key,source,target
Content/602683638,"
这次天辉峰的远征从头到尾都棒极了。天气一直很好, 我已经找到了完美的花卉样品, 当地的猎人也获得了大量的披毛犀角。

我甚至找到了下一个实验的志愿者! 事实证明这只跟表述方式有关: 那些对实验性药剂谨小慎微的人们更容易接受实验性食物。我的恒温糊一改名为菲拉咖喱, 人们便争先恐后地要求参与测试。

它确实具备一定的营养价值, 所以严格意义上来说这并不是纯粹的谎言。只是以进步为名采用了更有利的表达方式。一点都没有不道德。",
Content/1889138955,"一种常见的青色浆果, 生长在许多灌木丛中。味道可口, 也可以用来制作染料。",
Content/3455816549,"一种常见的蓝色浆果, 生长在许多灌木丛中。味道可口, 也可以用来制作染料。",
Content/1699914532,"一种常见的黄色浆果, 生长在许多灌木丛中。味道可口, 也可以用来制作染料。",
Content/1903023003,"一种常见的红色浆果, 生长在许多灌木丛中。味道可口, 也可以用来制作染料。",
Content/1115387286,"一种常见的紫红色浆果, 生长在许多灌木丛中。味道可口, 也可以用来制作染料。",
Content/3210485814,"一种常见的绿色浆果, 生长在许多灌木丛中。味道可口, 也可以用来制作染料。",
Content/845013814, (+10 生存者等级上限),
Content/3676423812, (+15 生存者等级上限),
Content/4004698144, (+5 生存者等级上限),
Content/888605196," 禁用7天后可认领恐龙自动消失的机制。取消勾选后, 所有恐龙都可被任何玩家认领。",
Content/3268934406,圣地亚哥之墓,
Content/3143033842, | 获得亲密度: ,
Content/792855726,“爆炸头”头部发型,
Content/4129420690,“射箭”表情,
Content/739130269,“后空翻”表情,
Content/1117787787,“二头之吻”表情,
Content/833147918,“发辫”头部发型,
Content/3926226048,“捶胸”表情,
Content/1482538012,“卷胡子”面部造型,
Content/1446851692,“跳舞”表情,
Content/1558743344,“脏辫胡须”面部造型,
Content/278435717,“脏辫”头部发型,
Content/632780745,“邪恶”表情,
Content/1655020150,“山羊胡子”面部造型,
Content/643344663,“爱心”表情,
Content/3820237599,“呼啦舞”表情,
Content/2902603737,人蛛泰山,
Content/2300645258,“敲门”表情,
